Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
592,730,592,703.58424,592,730,592,1.0138
593,730,593,704.34847,593,730,593,1.0127
594,880,594,846.56975,594,880,594,1.0157
595,720,595,692.71618,595,720,595,1.0156
596,790,596,761.48819,596,790,596,1.0137
597,880,597,847.73824,597,880,597,1.0143
598,700,598,673.93857,598,700,598,1.0149
599,770,599,739.94717,599,770,599,1.0168
600,610,600,585.78864,600,610,600,1.0175
601,760,601,729.19004,601,760,601,1.0184
602,610,602,586.13427,602,610,602,1.0169
603,620,603,595.74303,603,620,603,1.0169
604,780,604,750.07325,604,780,604,1.0161
605,800,605,770.21551,605,800,605,1.0149
606,950,606,913.82056,606,950,606,1.0158
607,790,607,759.46535,607,790,607,1.0164
608,780,608,749.70434,608,780,608,1.0166
609,970,609,932.41635,609,970,609,1.0165
610,730,610,701.64637,610,730,610,1.0166
611,980,611,942.30699,611,980,611,1.0162
612,950,612,915.17196,612,950,612,1.0143
613,700,613,671.42462,613,700,613,1.0187
614,710,614,683.701,614,710,614,1.0147
615,870,615,834.73071,615,870,615,1.0184
616,830,616,798.312,616,830,616,1.0159
617,670,617,643.47043,617,670,617,1.0174
618,650,618,624.20101,618,650,618,1.0175
619,890,619,854.25545,619,890,619,1.018
620,720,620,691.42266,620,720,620,1.0175
621,790,621,758.12274,621,790,621,1.0182
622,760,622,732.0654,622,760,622,1.0144
623,730,623,699.03342,623,730,623,1.0204
624,600,624,576.80912,624,600,624,1.0164
625,790,625,760.51288,625,790,625,1.015
626,850,626,817.95101,626,850,626,1.0154
627,780,627,749.04121,627,780,627,1.0175
628,870,628,840.17568,628,870,628,1.0118
629,930,629,894.58223,629,930,629,1.0158
630,840,630,807.6917,630,840,630,1.0162
631,710,631,684.57806,631,710,631,1.0134
632,730,632,700.75027,632,730,632,1.0179
633,860,633,826.75974,633,860,633,1.0164
634,820,634,787.68582,634,820,634,1.0172
635,860,635,827.00384,635,860,635,1.0161
636,880,636,845.1552,636,880,636,1.0174
637,710,637,681.15013,637,710,637,1.0185
638,850,638,817.95101,638,850,638,1.0154
639,820,639,787.99569,639,820,639,1.0168
640,940,640,903.84548,640,940,640,1.0162
641,630,641,605.76878,641,630,641,1.0162
642,890,642,855.85281,642,890,642,1.0161
643,900,643,864.70323,643,900,643,1.017
644,840,644,808.08931,644,840,644,1.0157
645,750,645,720.23193,645,750,645,1.0175
646,860,646,827.737,646,860,646,1.0152
647,860,647,824.81214,647,860,647,1.0188
648,720,648,691.89865,648,720,648,1.0168
649,940,649,904.37946,649,940,649,1.0156
650,910,650,875.86125,650,910,650,1.0152
651,940,651,902.1587,651,940,651,1.0181
652,870,652,837.44434,652,870,652,1.0151
653,970,653,931.04245,653,970,653,1.018
654,1180,654,1135.84405,654,1180,654,1.0151
655,1060,655,1017.02822,655,1060,655,1.0184
656,1050,656,1009.01887,656,1050,656,1.0168
657,1160,657,1113.63038,657,1160,657,1.0178
658,1130,658,1083.76478,658,1130,658,1.0188
659,1160,659,1109.81396,659,1160,659,1.0213
660,960,660,922.07812,660,960,660,1.0173
661,1050,661,1007.63149,661,1050,661,1.0182
662,1150,662,1107.51218,662,1150,662,1.0146
663,960,663,920.35917,663,960,663,1.0192
664,890,664,856.52718,664,890,664,1.0153
665,780,665,748.37925,665,780,665,1.0184
666,1030,666,984.08927,666,1030,666,1.0227
667,950,667,912.02488,667,950,667,1.0178
668,870,668,833.25794,668,870,668,1.0202
669,770,669,738.42211,669,770,669,1.0189
670,720,670,691.62657,670,720,670,1.0172
671,720,671,691.21886,671,720,671,1.0178
672,740,672,709.72207,672,740,672,1.0188
673,830,673,797.76231,673,830,673,1.0166
674,800,674,766.89073,674,800,674,1.0193
675,710,675,682.8934,675,710,675,1.0159
676,690,676,661.05413,676,690,676,1.0199
677,870,677,837.19692,677,870,677,1.0154
678,790,678,757.45322,678,790,678,1.0191
679,850,679,815.70169,679,850,679,1.0182
680,670,680,643.21755,680,670,680,1.0178
681,590,681,566.41545,681,590,681,1.0178
682,670,682,643.02801,682,670,682,1.0181
683,720,683,690.20166,683,720,683,1.0193
684,930,684,891.94801,684,930,684,1.0188
685,680,685,653.01029,685,680,685,1.0175
686,710,686,681.41774,686,710,686,1.0181
687,790,687,757.45322,687,790,687,1.0191
688,720,688,689.45762,688,720,688,1.0204
689,790,689,760.58782,689,790,689,1.0149
690,760,690,726.62147,690,760,690,1.022
691,600,691,576.69565,691,600,691,1.0166
692,590,692,565.24919,692,590,692,1.0199
693,680,693,651.92108,693,680,693,1.0192
694,740,694,707.70759,694,740,694,1.0217
695,680,695,653.01029,695,680,695,1.0175
696,770,696,738.78465,696,770,696,1.0184
697,710,697,680.21512,697,710,697,1.0199
698,780,698,748.52625,698,780,698,1.0182
699,640,699,613.99448,699,640,699,1.0185
700,820,700,785.06175,700,820,700,1.0206
701,570,701,547.80698,701,570,701,1.0167
702,790,702,757.08177,702,790,702,1.0196
703,950,703,912.29378,703,950,703,1.0175
704,810,704,778.99889,704,810,704,1.016
705,620,705,595.39173,705,620,705,1.0175
706,750,706,721.50831,706,750,706,1.0157
707,770,707,739.36545,707,770,707,1.0176
708,790,708,758.49521,708,790,708,1.0177
709,860,709,823.27677,709,860,709,1.0207
710,700,710,672.21647,710,700,710,1.0175
711,690,711,659.63126,711,690,711,1.0221
712,830,712,795.80528,712,830,712,1.0191
713,920,713,884.87596,713,920,713,1.0159
714,670,714,642.77547,714,670,714,1.0185
715,650,715,625.24564,715,650,715,1.0158
716,800,716,767.64384,716,800,716,1.0183
717,720,717,691.49062,717,720,717,1.0174
718,710,718,681.48468,718,710,718,1.018
719,780,719,751.10814,719,780,719,1.0147
720,790,720,757.15604,720,790,720,1.0195
721,670,721,644.67437,721,670,721,1.0155
722,750,722,722.64667,722,750,722,1.0141
723,740,723,710.34959,723,740,723,1.0179
724,700,724,672.01833,724,700,724,1.0178
725,710,725,682.55746,725,710,725,1.0164
726,650,726,623.89443,726,650,726,1.018
727,910,727,874.65506,727,910,727,1.0166
728,820,728,786.98951,728,820,728,1.0181
729,850,729,817.38752,729,850,729,1.0161
730,800,730,767.87006,730,800,730,1.018
731,820,731,788.15072,731,820,731,1.0166
732,720,732,690.20166,732,720,732,1.0193
733,720,733,692.44346,733,720,733,1.016
734,750,734,719.31291,734,750,734,1.0188
735,730,735,702.19895,735,730,735,1.0158
736,730,736,701.30144,736,730,736,1.0171
737,670,737,642.64928,737,670,737,1.0187
738,860,738,824.8931,738,860,738,1.0187
739,680,739,652.24106,739,680,739,1.0187
740,560,740,537.66749,740,560,740,1.0177
741,820,741,788.0732,741,820,741,1.0167
742,780,742,747.42516,742,780,742,1.0197
743,800,743,767.87006,743,800,743,1.018
744,660,744,634.30282,744,660,744,1.0167
745,730,745,698.62262,745,730,745,1.021
746,800,746,769.00317,746,800,746,1.0165
747,770,747,739.07494,747,770,747,1.018
748,570,748,547.2687,748,570,748,1.0177
749,820,749,788.77143,749,820,749,1.0158
750,670,750,644.04016,750,670,750,1.0165
751,770,751,739.5108,751,770,751,1.0174
752,700,752,670.17466,752,700,752,1.0206
753,740,753,710.07055,753,740,753,1.0183
754,590,754,567.02827,754,590,754,1.0167
755,690,755,662.41807,755,690,755,1.0178
756,780,756,749.18847,756,780,756,1.0173
757,700,757,672.08437,757,700,757,1.0177
758,760,758,729.26165,758,760,758,1.0183
759,670,759,643.28075,759,670,759,1.0177
760,710,760,679.08321,760,710,760,1.0216
761,730,761,703.86195,761,730,761,1.0134
762,800,762,765.98895,762,800,762,1.0205
763,800,763,769.98791,763,800,763,1.0152
764,640,764,615.50529,764,640,764,1.016
765,800,765,768.70068,765,800,765,1.0169
766,780,766,749.55688,766,780,766,1.0168
767,940,767,902.51329,767,940,767,1.0177
768,750,768,719.59544,768,750,768,1.0184
769,740,769,710.00083,769,740,769,1.0184
770,640,770,613.27192,770,640,770,1.0197
771,710,771,680.21512,771,710,771,1.0199
772,920,772,885.39888,772,920,772,1.0153
773,750,773,718.81902,773,750,773,1.0195
774,630,774,603.39368,774,630,774,1.0202
775,890,775,854.92729,775,890,775,1.0172
776,690,776,662.61338,776,690,776,1.0175
777,740,777,710.00083,777,740,777,1.0184
778,770,778,741.18637,778,770,778,1.0151
779,620,779,595.27472,779,620,779,1.0177
780,860,780,826.02831,780,860,780,1.0173
781,730,781,700.47501,781,730,781,1.0183
782,550,782,528.3778,782,550,782,1.0171
783,770,783,739.2928,783,770,783,1.0177
784,700,784,672.54696,784,700,784,1.017
785,760,785,728.76069,785,760,785,1.019
786,770,786,739.36545,786,770,786,1.0176
787,750,787,720.44435,787,750,787,1.0172
788,710,788,680.7491,788,710,788,1.0191
789,870,789,835.71544,789,870,789,1.0172
790,560,790,538.19633,790,560,790,1.0167
791,790,791,758.6443,791,790,791,1.0175
792,630,792,604.28216,792,630,792,1.0187
793,960,793,922.80381,793,960,793,1.0165
794,670,794,645.30983,794,670,794,1.0145
795,770,795,739.22017,795,770,795,1.0178
796,820,796,787.9182,796,820,796,1.0169
797,780,797,748.74686,797,780,797,1.0179
798,690,798,663.7223,798,690,798,1.0158
799,710,799,682.8934,799,710,799,1.0159
800,840,800,808.00976,800,840,800,1.0158
