Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
643,930,643,9667198.186,643,930
644,700,644,7276385.732,644,700
645,840,645,8825551.726,645,840
646,740,646,7692179.202,646,740
647,920,647,9666080.462,647,920
648,960,648,1.01E+07,648,960
649,850,649,8930617.818,649,850
650,870,650,9043507.981,650,870
651,750,651,7879956.898,651,750
652,720,652,7484282.467,652,720
653,1040,653,1.09E+07,653,1040
654,940,654,9876212.646,654,940
655,780,655,8195155.174,655,780
656,910,656,9561014.37,656,910
657,720,657,7564758.622,657,720
658,850,658,8835611.246,658,850
659,870,659,9140750.002,659,870
660,770,660,8004024.305,660,770
661,910,661,9561014.37,661,910
662,990,662,1.03E+07,662,990
663,850,663,8835611.246,663,850
664,1100,664,1.14E+07,664,1100
665,910,665,9459301.451,665,910
666,830,666,8627714.51,666,830
667,870,667,9043507.981,667,870
668,730,668,7669824.714,668,730
669,720,669,7564758.622,669,720
670,730,670,7669824.714,670,730
671,830,671,8720485.634,671,830
672,860,672,9035683.91,672,860
673,790,673,8300221.266,673,790
674,700,674,7354626.438,674,700
675,940,675,9876212.646,675,940
676,880,676,9245816.094,676,880
677,810,677,8510353.45,677,810
678,870,678,9140750.002,678,870
679,850,679,8930617.818,679,850
680,700,680,7354626.438,680,700
681,710,681,7459692.53,681,710
682,850,682,8835611.246,682,850
683,910,683,9561014.37,683,910
684,900,684,9455948.278,684,900
685,820,685,8615419.542,685,820
686,730,686,7588230.834,686,730
687,880,687,9245816.094,687,880
688,890,688,9350882.186,688,890
689,760,689,7985022.99,689,760
690,750,690,7879956.898,690,750
691,760,691,7900075.937,691,760
692,810,692,8510353.45,692,810
693,690,693,7249560.346,693,690
694,920,694,9563249.819,694,920
695,760,695,7985022.99,695,760
696,810,696,8419817.775,696,810
697,750,697,7796127.57,697,750
698,980,698,1.03E+07,698,980
699,800,699,8405287.358,699,800
700,670,700,7039428.162,700,670
701,730,701,7669824.714,701,730
702,810,702,8510353.45,702,810
703,720,703,7564758.622,703,720
704,830,704,8720485.634,704,830
705,900,705,9455948.278,705,900
706,840,706,8825551.726,706,840
707,680,707,7144494.254,707,680
708,860,708,9035683.91,708,860
709,880,709,9147456.348,709,880
710,820,710,8523766.143,710,820
711,980,711,1.03E+07,711,980
712,840,712,8731662.878,712,840
713,810,713,8419817.775,713,810
714,1000,714,1.04E+07,714,1000
715,870,715,9043507.981,715,870
716,940,716,9876212.646,716,940
717,740,717,7692179.202,717,740
718,950,718,9875094.921,718,950
719,750,719,7796127.57,719,750
720,750,720,7796127.57,720,750
721,920,721,9563249.819,721,920
722,700,722,7276385.732,722,700
723,730,723,7588230.834,723,730
724,840,724,8731662.878,724,840
725,810,725,8419817.775,725,810
726,1090,726,1.13E+07,726,1090
727,780,727,8107972.672,727,780
728,1040,728,1.08E+07,728,1040
729,910,729,9359729.857,729,910
730,860,730,8939559.613,730,860
731,780,731,8107972.672,731,780
732,820,732,8523766.143,732,820
733,740,733,7692179.202,733,740
734,770,734,7919771.417,734,770
735,850,735,8835611.246,735,850
736,870,736,8948313.16,736,870
737,790,737,8211921.04,737,790
738,910,738,9459301.451,738,910
739,800,739,8315869.408,739,800
740,800,740,8315869.408,740,800
741,910,741,9459301.451,741,910
742,780,742,8107972.672,742,780
743,790,743,8211921.04,743,790
744,980,744,1.01E+07,744,980
745,910,745,9459301.451,745,910
746,700,746,7354626.438,746,700
747,780,747,8107972.672,747,780
748,690,748,7172437.364,748,690
749,880,749,9051167.334,749,880
750,780,750,8107972.672,750,780
751,840,751,8731662.878,751,840
752,820,752,8523766.143,752,820
753,740,753,7774890.806,753,740
754,860,754,8845458.986,754,860
755,690,755,7096938.023,755,690
756,780,756,8022625.592,756,780
757,930,757,9667198.186,757,930
758,720,758,7405500.546,758,720
759,610,759,6340850.423,759,610
760,840,760,8731662.878,760,840
761,860,761,8939559.613,761,860
762,790,762,8211921.04,762,790
763,790,763,8300221.266,763,790
764,840,764,8731662.878,764,840
765,700,765,7354626.438,765,700
766,830,766,8627714.51,766,830
767,890,767,9251404.716,767,890
768,860,768,8939559.613,768,860
769,870,769,9043507.981,769,870
770,860,770,8939559.613,770,860
771,920,771,9563249.819,771,920
772,780,772,8107972.672,772,780
773,870,773,9140750.002,773,870
774,920,774,9563249.819,774,920
775,830,775,8627714.51,775,830
776,820,776,8615419.542,776,820
777,770,777,8004024.305,777,770
778,810,778,8419817.775,778,810
779,860,779,8939559.613,779,860
780,840,780,8731662.878,780,840
781,960,781,9979043.289,781,960
782,730,782,7508354.72,782,730
783,900,783,9355353.083,783,900
784,740,784,7611208.895,784,740
785,890,785,9154021.508,785,890
786,850,786,8742604.811,786,850
787,770,787,8004024.305,787,770
788,830,788,8536896.463,788,830
789,820,789,8523766.143,789,820
790,820,790,8523766.143,790,820
791,770,791,8004024.305,791,770
792,930,792,9565438.205,792,930
793,820,793,8523766.143,793,820
794,880,794,9147456.348,794,880
795,760,795,7816917.243,795,760
796,690,796,7023011.586,796,690
797,960,797,9771146.554,797,960
798,690,798,6950609.404,798,690
799,980,799,9871880.023,799,980
800,820,800,8260144.509,800,820
