Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
640,1030,640,990.67634,640,1030
641,930,641,891.77294,641,930
642,880,642,846.65311,642,880
643,950,643,909.16643,643,950
644,910,644,875.08546,644,910
645,940,645,900.83148,645,940
646,920,646,884.78886,646,920
647,870,647,834.40297,647,870
648,930,648,894.40613,648,930
649,1120,649,1072.1744,649,1120
650,1040,650,997.74103,650,1040
651,1070,651,1024.81149,651,1070
652,1200,652,1148.64575,652,1200
653,1350,653,1291.72031,653,1350
654,1110,654,1064.68761,654,1110
655,1200,655,1149.3213,655,1200
656,1440,656,1380.67423,656,1440
657,1210,657,1160.71935,657,1210
658,1200,658,1149.65937,658,1200
659,1260,659,1206.90566,659,1260
660,1410,660,1352.70659,660,1410
661,1180,661,1131.71898,661,1180
662,1080,662,1036.31919,662,1080
663,1230,663,1178.97884,663,1230
664,1040,664,1001.28017,664,1040
665,1050,665,1007.13693,665,1050
666,1120,666,1073.75237,666,1120
667,890,667,854.17154,667,890
668,890,668,853.75225,668,890
669,1010,669,968.57965,669,1010
670,1010,670,966.87156,670,1010
671,940,671,901.3619,671,940
672,880,672,842.34022,672,880
673,960,673,921.98749,673,960
674,820,674,786.6032,674,820
675,970,675,929.30799,675,970
676,860,676,827.65547,676,860
677,1100,677,1055.92506,677,1100
678,850,678,815.94209,678,850
679,700,679,671.62241,679,700
680,810,680,777.01048,680,810
681,810,681,776.32454,681,810
682,850,682,814.10258,682,850
683,930,683,891.51048,683,930
684,910,684,871.91051,684,910
685,710,685,680.48201,685,710
686,700,686,672.01833,686,700
687,710,687,681.15013,687,710
688,880,688,845.57075,688,880
689,1020,689,979.03433,689,1020
690,930,690,893.43883,690,930
691,890,691,851.4952,691,890
692,1070,692,1026.42125,692,1070
693,830,693,795.33702,693,830
694,790,694,756.85908,694,790
695,680,695,652.17704,695,680
696,870,696,834.32108,696,870
697,930,697,893.43883,697,930
698,720,698,689.66038,698,720
699,890,699,856.69593,699,890
700,1030,700,987.0813,700,1030
701,840,701,808.24846,701,840
702,860,702,825.37924,702,860
703,910,703,872.50941,703,910
704,790,704,756.9333,704,790
705,670,705,643.34397,705,670
706,700,706,671.62241,706,700
707,910,707,875.51628,707,910
708,820,708,786.83494,708,820
709,920,709,884.00579,709,920
710,960,710,921.26308,710,960
711,900,711,863.09077,711,900
712,900,712,862.58282,712,900
713,940,713,903.40098,713,940
714,910,714,870.88574,714,910
715,960,715,922.25943,715,960
716,1050,716,1006.54409,716,1050
717,680,717,654.03875,717,680
718,780,718,749.18847,718,780
719,950,719,910.147,719,950
720,860,720,826.35323,720,860
721,780,721,748.012,721,780
722,770,722,739.07494,722,770
723,920,723,884.00579,723,920
724,940,724,902.95692,724,940
725,740,725,712.44935,725,740
726,870,726,834.0755,726,870
727,850,727,817.54844,727,850
728,820,728,787.29883,728,820
729,860,729,825.37924,729,860
730,990,730,951.17356,730,990
731,970,731,931.8663,731,970
732,830,732,797.68384,732,830
733,850,733,817.06587,733,850
734,930,734,892.38597,734,930
735,970,735,932.41635,735,970
736,810,736,778.1564,736,810
737,870,737,838.84917,737,870
738,880,738,844.15953,738,880
739,850,739,817.38752,739,850
740,830,740,796.58694,740,830
741,980,741,940.82567,741,980
742,690,742,663.00434,742,690
743,1010,743,970.38919,743,1010
744,750,744,721.29527,744,750
745,820,745,784.29328,745,820
746,800,746,766.74029,746,800
747,710,747,682.75899,747,710
748,750,748,717.76297,748,750
749,850,749,815.30132,749,850
750,890,750,856.78034,750,890
751,790,751,757.89944,751,790
752,860,752,825.78479,752,860
753,870,753,837.36185,753,870
754,780,754,748.59978,754,780
755,850,755,816.5036,755,850
756,970,756,931.8663,756,970
757,920,757,882.61707,757,920
758,850,758,817.14626,758,850
759,1070,759,1027.22802,759,1070
760,870,760,836.78487,760,870
761,780,761,749.99944,761,780
762,930,762,893.70243,762,930
763,1050,763,1009.51529,763,1050
764,910,764,873.0234,764,910
765,1020,765,979.32293,765,1020
766,1040,766,997.05577,766,1040
767,840,767,806.89767,767,840
768,720,768,690.54039,768,720
769,640,769,614.23571,769,640
770,740,770,710.48919,770,740
771,860,771,825.86595,771,860
772,900,772,864.70323,772,900
773,990,773,952.57854,773,990
774,870,774,836.53784,774,870
775,910,775,875.3439,775,910
776,910,776,873.4522,776,910
777,870,777,834.56681,777,870
778,950,778,913.37098,778,950
779,690,779,661.76788,779,690
780,860,780,828.63485,780,860
781,850,781,814.74147,781,850
782,960,782,926.08359,782,960
783,900,783,863.51452,783,900
784,870,784,834.81268,784,870
785,1030,785,988.05036,785,1030
786,810,786,776.55305,786,810
787,640,787,614.05477,787,640
788,890,788,855.34774,788,890
789,970,789,929.03471,789,970
790,760,790,732.42641,790,760
791,940,791,902.33596,791,940
792,750,792,720.65689,792,750
793,790,793,757.82503,793,790
794,1060,794,1021.94527,794,1060
795,820,795,785.21562,795,820
796,760,796,731.27242,796,760
797,930,797,890.46216,797,930
798,770,798,740.67561,798,770
799,790,799,755.30389,799,790
800,740,800,710.41938,800,740
