Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
589,970,589,931.31691,589,970,589,1.0177
590,890,590,851.07853,590,890,590,1.0218
591,790,591,757.23031,591,790,591,1.0194
592,1030,592,986.01753,592,1030,592,1.0207
593,1250,593,1199.20797,593,1250,593,1.0185
594,870,594,832.6866,594,870,594,1.0209
595,950,595,912.02488,595,950,595,1.0178
596,860,596,824.97409,596,860,596,1.0186
597,1000,597,959.36638,597,1000,597,1.0185
598,880,598,844.98909,598,880,598,1.0176
599,930,599,892.12314,599,930,599,1.0186
600,840,600,804.99834,600,840,600,1.0196
601,960,601,922.07812,601,960,601,1.0173
602,990,602,948.84111,602,990,602,1.0195
603,840,603,808.24846,603,840,603,1.0155
604,960,604,919.18674,604,960,604,1.0205
605,870,605,833.83006,605,870,605,1.0195
606,1000,606,960.12052,606,1000,606,1.0177
607,910,607,872.852,607,910,607,1.0187
608,1000,608,960.78137,608,1000,608,1.017
609,910,609,870.97104,609,910,609,1.0209
610,830,610,795.80528,610,830,610,1.0191
611,1040,611,995.59052,611,1040,611,1.0207
612,990,612,945.5024,612,990,612,1.0231
613,970,613,929.85501,613,970,613,1.0193
614,930,614,888.45975,614,930,614,1.0228
615,880,615,844.32531,615,880,615,1.0184
616,1020,616,974.24922,616,1020,616,1.023
617,800,617,768.77628,617,800,617,1.0168
618,810,618,774.72873,618,810,618,1.0216
619,920,619,883.91886,619,920,619,1.017
620,900,620,865.46914,620,900,620,1.0161
621,1060,621,1018.5284,621,1060,621,1.0169
622,870,622,835.46904,622,870,622,1.0175
623,1040,623,997.15361,623,1040,623,1.0191
624,1030,624,988.82697,624,1030,624,1.0178
625,950,625,908.72141,625,950,625,1.0215
626,810,626,777.69762,626,810,626,1.0177
627,940,627,901.80439,627,940,627,1.0185
628,970,628,932.23293,628,970,628,1.0167
629,880,629,843.41432,629,880,629,1.0195
630,1060,630,1017.22799,630,1060,630,1.0182
631,830,631,797.05667,631,830,631,1.0175
632,1010,632,968.48459,632,1010,632,1.019
633,970,633,930.76816,633,970,633,1.0183
634,850,634,814.50177,634,850,634,1.0197
635,910,635,871.05636,635,910,635,1.0208
636,960,636,922.25943,636,960,636,1.0171
637,970,637,930.85957,637,970,637,1.0182
638,1030,638,988.5356,638,1030,638,1.0181
639,960,639,924.44079,639,960,639,1.0147
640,760,640,729.11845,640,760,640,1.0185
641,970,641,930.40269,641,970,641,1.0187
642,960,642,920.63016,642,960,642,1.0189
643,830,643,794.86932,643,830,643,1.0203
644,910,644,873.19487,644,910,644,1.0183
645,1030,645,985.63128,645,1030,645,1.0211
646,1000,646,958.80155,646,1000,646,1.0191
647,920,647,881.75133,647,920,647,1.0195
648,890,648,852.74764,648,890,648,1.0198
649,1150,649,1101.75689,649,1150,649,1.0199
650,980,650,939.99447,650,980,650,1.0187
651,1260,651,1210.22753,651,1260,651,1.0173
652,1090,652,1044.47874,652,1090,652,1.0197
653,1200,653,1151.57885,653,1200,653,1.0182
654,1170,654,1120.47843,654,1170,654,1.0203
655,1100,655,1054.6817,655,1100,655,1.0191
656,1150,656,1101.43291,656,1150,656,1.0202
657,1160,657,1114.50639,657,1160,657,1.017
658,1200,658,1150.11043,658,1200,658,1.0195
659,1190,659,1138.62754,659,1190,659,1.0212
660,1270,660,1219.47289,660,1270,660,1.0176
661,1100,661,1055.09583,661,1100,661,1.0187
662,990,662,947.81845,662,990,662,1.0206
663,1130,663,1087.5008,663,1130,663,1.0153
664,1000,664,959.5548,664,1000,664,1.0183
665,980,665,939.25685,665,980,665,1.0195
666,850,666,817.54844,666,850,666,1.0159
667,1240,667,1188.68064,667,1240,667,1.0193
668,800,668,768.70068,668,800,668,1.0169
669,840,669,807.13572,669,840,669,1.0169
670,790,670,757.23031,670,790,670,1.0194
671,760,671,729.6199,671,760,671,1.0178
672,810,672,777.31572,672,810,672,1.0182
673,770,673,738.8572,673,770,673,1.0183
674,820,674,785.6776,674,820,674,1.0198
675,760,675,728.61768,675,760,675,1.0192
676,720,676,689.11995,676,720,676,1.0209
677,820,677,787.14414,677,820,677,1.0179
678,880,678,843.24889,678,880,678,1.0197
679,930,679,889.24222,679,930,679,1.0219
680,780,680,747.79183,680,780,680,1.0192
681,940,681,902.0701,681,940,681,1.0182
682,950,682,908.72141,682,950,682,1.0215
683,960,683,922.25943,683,960,683,1.0171
684,1080,684,1034.49057,684,1080,684,1.0201
685,870,685,831.62762,685,870,685,1.0222
686,760,686,728.1176,686,760,686,1.0199
687,890,687,852.99857,687,890,687,1.0195
688,800,688,763.96767,688,800,688,1.0232
689,990,689,952.10975,689,990,689,1.016
690,920,690,880.19728,690,920,690,1.0213
691,800,691,766.66509,691,800,691,1.0196
692,680,692,652.11303,692,680,692,1.0189
693,920,693,883.05057,693,920,693,1.018
694,880,694,843.00088,694,880,694,1.02
695,860,695,827.737,695,860,695,1.0152
696,900,696,859.96791,696,900,696,1.0226
697,970,697,931.77469,697,970,697,1.0172
698,770,698,738.92976,698,770,698,1.0182
699,1020,699,977.01887,699,1020,699,1.0201
700,670,700,641.95609,700,670,700,1.0198
701,790,701,757.45322,701,790,701,1.0191
702,730,702,699.99382,702,730,702,1.019
703,850,703,816.02226,703,850,703,1.0178
704,820,704,783.90961,704,820,704,1.0221
705,890,705,854.00377,705,890,705,1.0183
706,740,706,710.00083,706,740,706,1.0184
707,870,707,833.83006,707,870,707,1.0195
708,1020,708,978.93817,708,1020,708,1.0181
709,1070,709,1026.62282,709,1070,709,1.0184
710,870,710,833.66652,710,870,710,1.0197
711,830,711,797.29175,711,830,711,1.0172
712,840,712,808.4873,712,840,712,1.0152
713,980,713,939.53332,713,980,713,1.0192
714,890,714,855.01135,714,890,714,1.0171
715,790,715,755.00839,715,790,715,1.0224
716,940,716,905.00323,716,940,716,1.0149
717,850,717,814.4219,717,850,717,1.0198
718,940,718,903.48984,718,940,718,1.0166
719,740,719,710.27981,719,740,719,1.018
720,770,720,738.05992,720,770,720,1.0194
721,890,721,853.33338,721,890,721,1.0191
722,760,722,729.97851,722,760,722,1.0173
723,680,723,653.13867,723,680,723,1.0173
724,830,724,795.02516,724,830,724,1.0201
725,880,725,846.81987,725,880,725,1.0154
726,970,726,928.12497,726,970,726,1.0212
727,850,727,819.8889,727,850,727,1.013
728,880,728,842.34022,728,880,728,1.0208
729,1100,729,1056.7556,729,1100,729,1.0171
730,760,730,726.40823,730,760,730,1.0223
731,840,731,805.86776,731,840,731,1.0185
732,850,732,811.47773,732,850,732,1.0235
733,880,733,843.66258,733,880,733,1.0192
734,920,734,879.42231,734,920,734,1.0222
735,920,735,879.76657,735,920,735,1.0218
