  344.73, 1259.50
  344.94, 1259.50
  345.16, 1259.50
  345.38, 1554.41
  345.59, 1626.09
  345.81, 1724.39
  346.03, 1632.23
  346.24, 1617.90
  346.46, 1535.98
  346.68, 1578.98
  346.90, 1628.14
  347.11, 1773.54
  347.33, 1576.94
  347.55, 1665.00
  347.76, 1613.80
  347.98, 1617.90
  348.20, 1560.55
  348.41, 1683.43
  348.63, 1695.72
  348.85, 1626.09
  349.06, 1675.24
  349.28, 1744.87
  349.50, 1798.12
  349.72, 1671.14
  349.93, 1669.09
  350.15, 1679.33
  350.37, 1624.04
  350.58, 1662.95
  350.80, 1800.16
  351.02, 1806.31
  351.23, 1644.52
  351.45, 1669.09
  351.67, 1617.90
  351.88, 1775.59
  352.10, 1712.10
  352.32, 1771.49
  352.53, 1638.38
  352.75, 1669.09
  352.97, 1708.01
  353.18, 1775.59
  353.40, 1740.77
  353.62, 1574.89
  353.83, 1671.14
  354.05, 1665.00
  354.27, 1728.49
  354.48, 1753.06
  354.70, 1636.33
  354.92, 1724.39
  355.13, 1740.77
  355.35, 1613.80
  355.56, 1681.38
  355.78, 1621.99
  356.00, 1900.52
  356.21, 1736.68
  356.43, 1621.99
  356.65, 1703.91
  356.86, 1574.89
  357.08, 1685.48
  357.30, 1646.57
  357.51, 1863.65
  357.73, 1837.03
  357.95, 1718.25
  358.16, 1726.44
  358.38, 1646.57
  358.59, 1662.95
  358.81, 1728.49
  359.03, 1603.56
  359.24, 1669.09
  359.46, 1697.77
  359.68, 1630.18
  359.89, 1722.34
  360.11, 1722.34
  360.32, 1759.21
  360.54, 1603.56
  360.76, 1611.75
  360.97, 1718.25
  361.19, 1695.72
  361.41, 1681.38
  361.62, 1734.63
  361.84, 1638.38
  362.05, 1624.04
  362.27, 1691.62
  362.49, 1974.24
  362.70, 1708.01
  362.92, 1757.16
  363.13, 1726.44
  363.35, 1732.58
  363.57, 1593.32
  363.78, 1609.70
  364.00, 1718.25
  364.21, 1402.86
  364.43, 1699.81
  364.65, 1789.92
  364.86, 1722.34
  365.08, 1791.97
  365.29, 1806.31
  365.51, 1642.47
  365.73, 1648.61
  365.94, 1718.25
  366.16, 1675.24
  366.37, 1677.29
  366.59, 1603.56
  366.80, 1730.53
  367.02, 1751.01
  367.24, 1656.81
  367.45, 1691.62
  367.67, 1611.75
  367.88, 1728.49
  368.10, 1669.09
  368.32, 1722.34
  368.53, 1755.11
  368.75, 1818.60
  368.96, 1644.52
  369.18, 1763.30
  369.39, 1751.01
  369.61, 1716.20
  369.83, 1728.49
  370.04, 1697.77
  370.26, 1634.28
  370.47, 1777.64
  370.69, 1734.63
  370.90, 1701.86
  371.12, 1744.87
  371.33, 1796.07
  371.55, 1781.73
  371.77, 1644.52
  371.98, 1703.91
  372.20, 1654.76
  372.41, 1648.61
  372.63, 1736.68
  372.84, 1695.72
  373.06, 1681.38
  373.27, 1677.29
  373.49, 1695.72
  373.71, 1736.68
  373.92, 1781.73
  374.14, 1746.92
  374.35, 1785.83
  374.57, 1650.66
  374.78, 1703.91
  375.00, 1605.61
  375.21, 1621.99
  375.43, 1806.31
  375.64, 1609.70
  375.86, 1677.29
  376.07, 1591.27
  376.29, 1650.66
  376.51, 1820.64
  376.72, 1834.98
  376.94, 1626.09
  377.15, 1757.16
  377.37, 1644.52
  377.58, 1542.12
  377.80, 1757.16
  378.01, 1677.29
  378.23, 1832.93
  378.44, 1808.36
  378.66, 1679.33
  378.87, 1843.17
  379.09, 1773.54
  379.30, 1796.07
  379.52, 1576.94
  379.73, 1720.29
  379.95, 1730.53
  380.16, 1722.34
  380.38, 1765.35
  380.59, 1701.86
  380.81, 1746.92
  381.02, 1585.13
  381.24, 1671.14
  381.45, 1724.39
  381.67, 1783.78
  381.88, 1701.86
  382.10, 1593.32
  382.31, 1767.40
  382.53, 1742.82
  382.74, 1746.92
  382.96, 1705.96
  383.17, 1765.35
  383.39, 1650.66
  383.60, 1726.44
  383.82, 1785.83
  384.03, 1581.03
  384.25, 1636.33
  384.46, 1716.20
  384.68, 1693.67
  384.89, 1718.25
  385.11, 1769.44
  385.32, 1740.77
  385.54, 1720.29
  385.75, 1660.90
  385.97, 1755.11
  386.18, 1687.53
  386.40, 1628.14
  386.61, 1740.77
  386.82, 1710.05
  387.04, 1621.99
  387.25, 1665.00
  387.47, 1658.85
  387.68, 1660.90
  387.90, 1757.16
  388.11, 1708.01
  388.33, 1705.96
  388.54, 1708.01
  388.76, 1685.48
  388.97, 1757.16
  389.19, 1669.09
  389.40, 1693.67
  389.61, 1699.81
  389.83, 1656.81
  390.04, 1712.10
  390.26, 1828.84
  390.47, 1683.43
  390.69, 1701.86
  390.90, 1714.15
  391.12, 1703.91
  391.33, 1677.29
  391.54, 1650.66
  391.76, 1611.75
  391.97, 1601.51
  392.19, 1791.97
  392.40, 1757.16
  392.62, 1677.29
  392.83, 1689.57
  393.05, 1632.23
  393.26, 1734.63
  393.47, 1703.91
  393.69, 1701.86
  393.90, 1667.05
  394.12, 1650.66
  394.33, 1533.93
  394.55, 1576.94
  394.76, 1794.02
  394.97, 1730.53
  395.19, 1734.63
  395.40, 1765.35
  395.62, 1630.18
  395.83, 1755.11
  396.04, 1689.57
  396.26, 1740.77
  396.47, 1777.64
  396.69, 1685.48
  396.90, 1791.97
  397.12, 1884.13
  397.33, 1691.62
  397.54, 1609.70
  397.76, 1705.96
  397.97, 1611.75
  398.19, 1773.54
  398.40, 1728.49
  398.61, 1800.16
  398.83, 1710.05
  399.04, 1638.38
  399.26, 1736.68
