Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
658,1250,658,1202.27711,658,1250
659,1200,659,1150.11043,659,1200
660,1020,660,979.997,660,1020
661,1020,661,977.11466,661,1020
662,860,662,827.00384,662,860
663,1040,663,996.76238,663,1040
664,640,664,614.29605,664,640
665,1130,665,1087.5008,665,1130
666,940,666,901.18502,666,940
667,780,667,749.92564,667,780
668,990,668,949.67947,668,990
669,930,669,892.29834,669,930
670,740,670,710.97822,670,740
671,610,671,585.21349,671,610
672,770,672,739.94717,672,770
673,810,673,775.79187,673,810
674,970,674,932.69161,674,970
675,880,675,845.90349,675,880
676,870,676,834.81268,676,870
677,870,677,835.38694,677,870
678,750,678,722.0059,678,750
679,680,679,653.45984,679,680
680,740,680,712.0284,680,740
681,750,681,720.51518,681,750
682,870,682,837.36185,682,870
683,740,683,712.30898,683,740
684,730,684,701.2325,684,730
685,900,685,863.85382,685,900
686,780,686,748.82043,686,780
687,750,687,719.31291,687,750
688,930,688,892.64895,688,930
689,680,689,651.09061,689,680
690,710,690,682.22186,690,710
691,650,691,621.75676,691,650
692,740,692,712.16866,692,740
693,800,693,768.09642,693,800
694,710,694,681.55163,694,710
695,820,695,788.15072,695,820
696,810,696,774.34974,696,810
697,740,697,712.09853,697,740
698,810,698,776.17228,698,810
699,830,699,800.5974,699,830
700,710,700,679.94845,700,710
701,670,701,642.83859,701,670
702,860,702,827.41099,702,860
703,690,703,662.15784,703,690
704,800,704,769.07883,704,800
705,640,705,614.29605,705,640
706,780,706,749.33579,706,780
707,740,707,710.21004,707,740
708,870,708,834.64875,708,870
709,820,709,786.37159,709,820
710,780,710,747.71846,710,780
711,770,711,742.64958,711,770
712,780,712,747.71846,712,780
713,660,713,634.24043,713,660
714,660,714,636.43114,714,660
715,740,715,711.25796,715,740
716,830,716,798.15487,716,830
717,890,717,854.08765,717,890
718,720,718,692.17095,718,720
719,730,719,700.2687,719,730
720,760,720,731.48851,720,760
721,660,721,634.98983,721,660
722,750,722,721.50831,722,750
723,690,723,664.37634,723,690
724,590,724,566.19294,724,590
725,760,725,730.48115,725,760
726,790,726,759.31593,726,790
727,700,727,670.63463,727,700
728,670,728,645.30983,728,670
729,750,729,719.94891,729,750
730,670,730,643.40719,730,670
731,680,731,653.5884,731,680
732,590,732,566.08174,732,590
