Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
646,740,646,7692179.202,646,740
647,690,647,7172437.364,647,690
648,840,648,8639750.637,648,840
649,820,649,8434042.289,649,820
650,900,650,9355353.083,650,900
651,730,651,7508354.72,651,730
652,620,652,6376958.804,652,620
653,670,653,6964540.629,653,670
654,690,654,7096938.023,654,690
655,850,655,8742604.811,655,850
656,740,656,7611208.895,656,740
657,900,657,9256875.683,657,900
658,710,658,7302646.372,658,710
659,890,659,9154021.508,659,890
660,720,660,7405500.546,660,720
661,720,661,7405500.546,661,720
662,500,662,5142708.713,662,500
663,690,663,7096938.023,663,690
664,820,664,8434042.289,664,820
665,620,665,6376958.804,665,620
666,720,666,7484282.467,666,720
667,650,667,6685521.326,667,650
668,700,668,7199792.198,668,700
669,600,669,6171250.455,669,600
670,840,670,8639750.637,670,840
671,660,671,6788375.501,671,660
672,770,672,7919771.417,672,770
673,650,673,6685521.326,673,650
674,840,674,8731662.878,674,840
675,680,675,7068488.996,675,680
676,630,676,6548747.158,676,630
677,880,677,9147456.348,677,880
678,650,678,6756643.894,678,650
679,630,679,6548747.158,679,630
680,850,680,8835611.246,680,850
681,730,681,7508354.72,681,730
682,790,682,8125479.766,682,790
683,490,683,5039854.538,683,490
684,730,684,7508354.72,684,730
685,670,685,6891229.675,685,670
686,670,686,6891229.675,686,670
687,660,687,6860592.261,687,660
688,760,688,7816917.243,688,760
689,650,689,6756643.894,689,650
690,570,690,5925056.953,690,570
691,750,691,7714063.069,691,750
692,750,692,7796127.57,692,750
693,780,693,8107972.672,693,780
694,930,694,9565438.205,694,930
695,860,695,8845458.986,695,860
696,600,696,6171250.455,696,600
697,710,697,7302646.372,697,710
698,610,698,6274104.629,698,610
699,810,699,8331188.114,699,810
700,750,700,7714063.069,700,750
701,590,701,6132953.688,701,590
702,660,702,6788375.501,702,660
703,870,703,8948313.16,703,870
704,670,704,6891229.675,704,670
705,690,705,7096938.023,705,690
706,810,706,8331188.114,706,810
707,690,707,7096938.023,707,690
708,620,708,6310532.149,708,620
709,850,709,8742604.811,709,850
710,620,710,6310532.149,710,620
711,590,711,6005183.82,711,590
712,800,712,8315869.408,712,800
713,700,713,7199792.198,713,700
714,700,714,7199792.198,714,700
715,700,715,7199792.198,715,700
716,660,716,6788375.501,716,660
717,730,717,7430142.692,717,730
718,750,718,7714063.069,718,750
719,810,719,8331188.114,719,810
720,620,720,6310532.149,720,620
721,970,721,9976854.902,721,970
722,750,722,7633708.245,722,750
723,770,723,7837273.798,723,770
724,770,724,7837273.798,724,770
725,540,725,5496269.937,725,540
726,750,726,7633708.245,726,750
727,690,727,7023011.586,727,690
728,630,728,6479812.978,728,630
729,630,729,6479812.978,729,630
730,870,730,8855101.564,730,870
731,680,731,6921228.809,731,680
732,690,732,7023011.586,732,690
733,620,733,6310532.149,733,620
734,590,734,5943274.708,734,590
735,630,735,6346208.587,735,630
736,690,736,6950609.404,736,690
737,730,737,7353543.283,737,730
738,790,738,8040839.352,738,790
739,600,739,6106966.596,739,600
740,830,740,8447970.458,740,830
741,690,741,7023011.586,741,690
742,750,742,7633708.245,742,750
743,830,743,8447970.458,743,830
744,760,744,7735491.022,744,760
745,740,745,7531925.469,745,740
746,750,746,7633708.245,746,750
747,730,747,7430142.692,747,730
748,790,748,8040839.352,748,790
749,930,749,9465798.224,749,930
750,750,750,7633708.245,750,750
751,720,751,7328359.915,751,720
752,690,752,7023011.586,752,690
753,700,753,7124794.362,753,700
754,870,754,8855101.564,754,870
755,650,755,6615880.479,755,650
756,640,756,6514097.703,756,640
757,720,757,7405500.546,757,720
758,600,758,6171250.455,758,600
759,770,759,7837273.798,759,770
760,550,760,5656979.584,760,550
761,650,761,6615880.479,761,650
762,610,762,6208749.373,762,610
763,780,763,8022625.592,763,780
764,750,764,7633708.245,764,750
765,710,765,7226577.139,765,710
766,630,766,6412314.926,766,630
767,720,767,7328359.915,767,720
768,790,768,8040839.352,768,790
769,840,769,8549753.235,769,840
770,640,770,6514097.703,770,640
771,610,771,6208749.373,771,610
772,830,772,8447970.458,772,830
773,610,773,6208749.373,773,610
774,840,774,8549753.235,774,840
775,690,775,7023011.586,775,690
776,500,776,5089138.83,776,500
777,670,777,6819446.032,777,670
778,740,778,7531925.469,778,740
779,790,779,8040839.352,779,790
780,630,780,6412314.926,780,630
781,680,781,6921228.809,781,680
782,690,782,7023011.586,782,690
783,550,783,5598052.713,783,550
784,660,784,6788375.501,784,660
785,710,785,7226577.139,785,710
786,670,786,6819446.032,786,670
787,710,787,7226577.139,787,710
788,820,788,8346187.681,788,820
789,700,789,7124794.362,789,700
790,760,790,7735491.022,790,760
791,800,791,8142622.128,791,800
792,690,792,7023011.586,792,690
793,680,793,6849875.935,793,680
794,590,794,6005183.82,794,590
795,820,795,8346187.681,795,820
796,680,796,6849875.935,796,680
797,800,797,8058677.57,797,800
798,800,798,8142622.128,798,800
799,640,799,6514097.703,799,640
800,660,800,6717663.256,800,660
