Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
589,940,589,899.77251,589,940,589,1.0208
590,910,590,874.91325,590,910,590,1.0163
591,820,591,785.29258,591,820,591,1.0203
592,810,592,779.22898,592,810,592,1.0157
593,1040,593,1000.39303,593,1040,593,1.0158
594,870,594,838.18749,594,870,594,1.0142
595,860,595,827.98168,595,860,595,1.0149
596,990,596,953.51751,596,990,596,1.0145
597,870,597,835.14073,597,870,597,1.0179
598,810,598,781.53735,598,810,598,1.0127
599,980,599,940.54844,599,980,599,1.0181
600,900,600,863.09077,600,900,600,1.0189
601,1140,601,1097.44897,601,1140,601,1.015
602,860,602,825.62252,602,860,602,1.0178
603,1160,603,1111.77342,603,1160,603,1.0195
604,1020,604,981.54121,604,1020,604,1.0154
605,880,605,843.24889,605,880,605,1.0197
606,900,606,866.06578,606,900,606,1.0154
607,880,607,848.6586,607,880,607,1.0132
608,960,608,922.62228,608,960,608,1.0167
609,870,609,835.14073,609,870,609,1.0179
610,890,610,857.45617,610,890,610,1.0142
611,1000,611,959.7433,611,1000,611,1.0181
612,950,612,912.92184,612,950,612,1.0168
613,970,613,932.23293,613,970,613,1.0167
614,1090,614,1046.94286,614,1090,614,1.0173
615,910,615,875.6025,615,910,615,1.0155
616,1010,616,970.58006,616,1010,616,1.0168
617,900,617,862.83672,617,900,617,1.0192
618,1200,618,1154.75437,618,1200,618,1.0154
619,970,619,931.04245,619,970,619,1.018
620,790,620,758.49521,620,790,620,1.0177
621,1100,621,1059.46389,621,1100,621,1.0145
622,970,622,931.6831,622,970,622,1.0173
623,940,623,900.38994,623,940,623,1.0201
624,1040,624,1001.7737,624,1040,624,1.0144
625,950,625,910.86147,625,950,625,1.0191
626,810,626,778.69232,626,810,626,1.0164
627,850,627,816.90514,627,850,627,1.0167
628,1040,628,998.52534,628,1040,628,1.0177
629,1020,629,983.18728,629,1020,629,1.0137
630,1060,630,1017.9278,630,1060,630,1.0175
631,810,631,777.92694,631,810,631,1.0174
632,1000,632,962.39009,632,1000,632,1.0153
633,940,633,905.98518,633,940,633,1.0138
634,1060,634,1017.02822,634,1060,634,1.0184
635,890,635,857.28711,635,890,635,1.0144
636,870,636,835.30485,636,870,636,1.0177
637,1030,637,987.0813,637,1030,637,1.0196
638,1230,638,1180.94824,638,1230,638,1.0177
639,920,639,886.44659,639,920,639,1.0141
640,1110,640,1064.47862,640,1110,640,1.0189
641,1020,641,980.47904,641,1020,641,1.0165
642,810,642,778.99889,642,810,642,1.016
643,1010,643,969.34073,643,1010,643,1.0181
644,960,644,923.53064,644,960,644,1.0157
645,970,645,931.59152,645,970,645,1.0174
646,820,646,788.15072,646,820,646,1.0166
647,990,647,953.1417,647,990,647,1.0149
648,1150,648,1103.81322,648,1150,648,1.018
649,980,649,940.82567,649,980,649,1.0178
650,1240,650,1192.77631,650,1240,650,1.0158
651,1000,651,959.46058,651,1000,651,1.0184
652,1260,652,1213.80703,652,1260,652,1.0143
653,1190,653,1143.44227,653,1190,653,1.0169
654,1050,654,1010.0122,654,1050,654,1.0158
655,1550,655,1493.17531,655,1550,655,1.0143
656,1400,656,1344.03666,656,1400,656,1.0178
657,1190,657,1142.09453,657,1190,657,1.0181
658,1480,658,1420.55962,658,1480,658,1.018
659,1320,659,1272.10903,659,1320,659,1.0139
660,1210,660,1157.53743,660,1210,660,1.0214
661,1230,661,1180.83221,661,1230,661,1.0178
662,1090,662,1047.66376,662,1090,662,1.0166
663,1280,663,1228.95427,663,1280,663,1.0177
