Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
590,1030,590,991.55477,590,1030,590,1.015
591,970,591,933.97834,591,970,591,1.0148
592,1100,592,1059.35947,592,1100,592,1.0146
593,1170,593,1130.11481,593,1170,593,1.0116
594,960,594,921.44408,594,960,594,1.018
595,1250,595,1201.68567,595,1250,595,1.0164
596,1350,596,1299.73868,596,1350,596,1.0149
597,1320,597,1269.72962,597,1320,597,1.0158
598,1030,598,991.55477,598,1030,598,1.015
599,1410,599,1357.90623,599,1410,599,1.0146
600,1120,600,1077.45241,600,1120,600,1.0157
601,1460,601,1408.00177,601,1460,601,1.0132
602,1300,602,1247.05385,602,1300,602,1.0186
603,1310,603,1262.34734,603,1310,603,1.014
604,1210,604,1164.26266,604,1210,604,1.0155
605,1250,605,1200.26859,605,1250,605,1.0176
606,1290,606,1242.70719,606,1290,606,1.0143
607,1450,607,1390.39868,607,1450,607,1.019
608,1470,608,1416.94638,608,1470,608,1.0137
609,1410,609,1355.90165,609,1410,609,1.0161
610,1410,610,1363.4158,610,1410,610,1.0105
611,1180,611,1134.05655,611,1180,611,1.0167
612,1350,612,1301.91945,612,1350,612,1.0132
613,1370,613,1320.68575,613,1370,613,1.0136
614,1210,614,1166.56017,614,1210,614,1.0135
615,1460,615,1403.01672,615,1460,615,1.0168
616,1370,616,1320.81606,616,1370,616,1.0135
617,1460,617,1403.43079,617,1460,617,1.0165
618,1430,618,1374.32277,618,1430,618,1.0167
619,1460,619,1403.15471,619,1460,619,1.0167
620,1420,620,1368.07613,620,1420,620,1.0142
621,1450,621,1391.62779,621,1450,621,1.0181
622,1220,622,1173.53798,622,1220,622,1.0158
623,1540,623,1478.44033,623,1540,623,1.0178
624,1590,624,1535.19002,624,1590,624,1.012
625,1810,625,1737.81815,625,1810,625,1.0177
626,1440,626,1389.81144,626,1440,626,1.0124
627,1530,627,1471.15275,627,1530,627,1.0162
628,1780,628,1719.15003,628,1780,628,1.0117
629,1730,629,1663.62401,629,1730,629,1.0161
630,1640,630,1579.87581,630,1640,630,1.0143
631,1260,631,1215.60473,631,1260,631,1.0128
632,1450,632,1397.94401,632,1450,632,1.0135
633,1620,633,1557.84445,633,1620,633,1.0161
634,1600,634,1540.73465,634,1600,634,1.0147
635,1780,635,1707.67215,635,1780,635,1.0185
636,1420,636,1370.37315,636,1420,636,1.0125
637,1540,637,1480.47675,637,1540,637,1.0164
638,1590,638,1530.80333,638,1590,638,1.0149
639,1650,639,1589.03921,639,1650,639,1.0146
640,1490,640,1431.98666,640,1490,640,1.0167
641,1780,641,1712.88565,641,1780,641,1.0154
642,1460,642,1402.7408,642,1460,642,1.017
643,1700,643,1637.03056,643,1700,643,1.0147
644,1440,644,1384.3419,644,1440,644,1.0164
645,1430,645,1374.59317,645,1430,645,1.0165
646,1550,646,1494.05911,646,1550,646,1.0137
647,1470,647,1414.4348,647,1470,647,1.0155
648,1580,648,1526.13796,648,1580,648,1.0116
649,1750,649,1679.88078,649,1750,649,1.0179
650,1460,650,1414.00277,650,1460,650,1.0089
651,1690,651,1622.76314,651,1690,651,1.0176
652,1540,652,1486.47295,652,1540,652,1.0123
653,1670,653,1610.52258,653,1670,653,1.0132
654,1870,654,1799.66946,654,1870,654,1.0153
655,1510,655,1452.2078,655,1510,655,1.016
656,1510,656,1454.06833,656,1510,656,1.0147
657,1530,657,1470.5739,657,1530,657,1.0166
658,1530,658,1473.76323,658,1530,658,1.0144
659,1530,659,1475.21751,659,1530,659,1.0134
660,1470,660,1415.82902,660,1470,660,1.0145
661,1850,661,1782.3527,661,1850,661,1.0142
662,1350,662,1299.35459,662,1350,662,1.0152
663,1300,663,1252.21713,663,1300,663,1.0144
664,1140,664,1096.15303,664,1140,664,1.0162
665,1340,665,1289.98388,665,1340,665,1.015
666,1200,666,1152.48436,666,1200,666,1.0174
667,1150,667,1111.89576,667,1150,667,1.0106
668,1100,668,1057.89973,668,1100,668,1.016
669,1160,669,1117.914,669,1160,669,1.0139
670,1260,670,1215.24476,670,1260,670,1.0131
671,1140,671,1093.89247,671,1140,671,1.0183
672,1060,672,1023.25779,672,1060,672,1.0122
673,1160,673,1116.15263,673,1160,673,1.0155
674,1150,674,1106.6396,674,1150,674,1.0154
675,1120,675,1076.39266,675,1120,675,1.0167
676,1050,676,1006.93924,676,1050,676,1.0189
677,1140,677,1096.90862,677,1140,677,1.0155
678,1100,678,1056.85951,678,1100,678,1.017
679,1020,679,982.12155,679,1020,679,1.0148
680,1110,680,1067.93744,680,1110,680,1.0156
681,1160,681,1117.36297,681,1160,681,1.0144
682,900,682,864.19339,682,900,682,1.0176
683,950,683,915.44272,683,950,683,1.014
684,1090,684,1048.28246,684,1090,684,1.016
685,1050,685,1013.20402,685,1050,685,1.0126
686,1010,686,972.58875,686,1010,686,1.0147
687,1030,687,991.55477,687,1030,687,1.015
688,1030,688,994.00306,688,1030,688,1.0125
689,900,689,868.03197,689,900,689,1.0131
690,1050,690,1010.11164,690,1050,690,1.0157
691,1140,691,1099.50716,691,1140,691,1.0131
692,980,692,940.17905,692,980,692,1.0185
693,960,693,923.25794,693,960,693,1.016
694,930,694,895.02278,694,930,694,1.0153
695,1030,695,990.67634,695,1030,695,1.0159
696,1050,696,1011.70534,696,1050,696,1.0141
697,1030,697,990.38388,697,1030,697,1.0162
698,880,698,846.48641,698,880,698,1.0158
699,970,699,934.62303,699,970,699,1.0141
700,900,700,865.72474,700,900,700,1.0158
701,910,701,877.15728,701,910,701,1.0137
702,860,702,827.08524,702,860,702,1.016
703,830,703,799.17734,703,830,703,1.0148
704,1100,704,1059.56834,704,1100,704,1.0144
705,860,705,829.37091,705,860,705,1.0132
706,900,706,866.15108,706,900,706,1.0153
707,830,707,798.94115,707,830,707,1.0151
708,840,708,809.04516,708,840,708,1.0145
709,870,709,837.03205,709,870,709,1.0156
710,720,710,693.53564,710,720,710,1.0144
711,890,711,856.9492,711,890,711,1.0148
712,980,712,940.54844,712,980,712,1.0181
713,1000,713,960.87585,713,1000,713,1.0169
714,970,714,934.62303,714,970,714,1.0141
715,970,715,930.49403,715,970,715,1.0186
716,910,716,874.65506,716,910,716,1.0166
717,930,717,898.11883,717,930,717,1.0118
718,850,718,816.8248,718,850,718,1.0168
719,1070,719,1032.09544,719,1070,719,1.013
720,950,720,915.89435,720,950,720,1.0135
721,840,721,808.08931,721,840,721,1.0157
722,1010,722,970.58006,722,1010,722,1.0168
723,930,723,898.3852,723,930,723,1.0115
724,850,724,816.26286,724,850,724,1.0175
725,940,725,904.91407,725,940,725,1.015
726,920,726,887.84739,726,920,726,1.0125
727,960,727,921.5346,727,960,727,1.0179
728,860,728,827.737,728,860,728,1.0152
729,990,729,953.23562,729,990,729,1.0148
730,950,730,912.38345,730,950,730,1.0174
731,980,731,940.82567,731,980,731,1.0178
732,900,732,867.17601,732,900,732,1.0141
733,890,733,853.58465,733,890,733,1.0188
734,920,734,886.09708,734,920,734,1.0145
735,860,735,827.65547,735,860,735,1.0153
736,680,736,654.87676,736,680,736,1.0146
737,920,737,886.44659,737,920,737,1.0141
738,1010,738,976.14817,738,1010,738,1.011
739,840,739,809.28447,739,840,739,1.0142
740,910,740,876.03383,740,910,740,1.015
741,960,741,921.89687,741,960,741,1.0175
742,870,742,836.12644,742,870,742,1.0167
743,780,743,750.81217,743,780,743,1.0151
744,890,744,856.10558,744,890,744,1.0158
745,960,745,923.98549,745,960,745,1.0152
746,730,746,702.19895,746,730,746,1.0158
747,1030,747,993.02229,747,1030,747,1.0135
748,890,748,853.83608,748,890,748,1.0185
749,850,749,815.94209,749,850,749,1.0179
750,900,750,867.0905,750,900,750,1.0142
751,920,751,882.96384,751,920,751,1.0181
752,1010,752,968.19955,752,1010,752,1.0193
753,820,753,789.15987,753,820,753,1.0153
754,780,754,748.08543,754,780,754,1.0188
755,900,755,868.63215,755,900,755,1.0124
756,850,756,815.30132,756,850,756,1.0187
757,800,757,770.59515,757,800,757,1.0144
758,850,758,818.67665,758,850,758,1.0145
759,930,759,895.02278,759,930,759,1.0153
760,770,760,739.5108,760,770,760,1.0174
761,880,761,847.40406,761,880,761,1.0147
762,770,762,739.14754,762,770,762,1.0179
763,850,763,818.67665,763,850,763,1.0145
764,750,764,720.65689,764,750,764,1.0169
765,890,765,858.38717,765,890,765,1.0131
766,780,766,750.22092,766,780,766,1.0159
767,990,767,955.0237,767,990,767,1.0129
768,850,768,815.86194,768,850,768,1.018
769,850,769,818.51528,769,850,769,1.0147
770,790,770,757.23031,770,790,770,1.0194
771,710,771,682.75899,771,710,771,1.0161
772,840,772,806.65976,772,840,772,1.0175
773,1050,773,1007.3347,773,1050,773,1.0185
774,900,774,864.53322,774,900,774,1.0172
775,930,775,896.34704,775,930,775,1.0138
