Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
573,790,573,8872650.319,573,790,573,8.70E-05
574,850,574,9546522.495,574,850,574,8.70E-05
575,790,575,8872650.319,575,790,575,8.70E-05
576,850,576,9438039.285,576,850,576,8.80E-05
577,690,577,7661467.184,577,690,577,8.80E-05
578,690,578,7661467.184,578,690,578,8.80E-05
579,800,579,8882860.503,579,800,579,8.80E-05
580,850,580,9438039.285,580,850,580,8.80E-05
581,770,581,8549753.235,581,770,581,8.80E-05
582,980,582,1.09E+07,582,980,582,8.80E-05
583,910,583,1.01E+07,583,910,583,8.80E-05
584,830,584,9215967.772,584,830,584,8.80E-05
585,670,585,7439395.672,585,670,585,8.80E-05
586,890,586,9882182.31,586,890,586,8.80E-05
587,750,587,8327681.722,587,750,587,8.80E-05
588,750,588,8327681.722,588,750,588,8.80E-05
589,940,589,1.04E+07,589,940,589,8.80E-05
590,900,590,9993218.066,590,900,590,8.80E-05
591,890,591,9995770.613,591,890,591,8.70E-05
592,710,592,7883538.697,592,710,592,8.80E-05
593,830,593,9215967.772,593,830,593,8.80E-05
594,820,594,9104932.016,594,820,594,8.80E-05
595,650,595,7217324.159,595,650,595,8.80E-05
596,800,596,8882860.503,596,800,596,8.80E-05
597,750,597,8327681.722,597,750,597,8.80E-05
598,770,598,8549753.235,598,770,598,8.80E-05
599,820,599,9104932.016,599,820,599,8.80E-05
600,660,600,7412593.937,600,660,600,8.70E-05
601,900,601,9993218.066,601,900,601,8.80E-05
602,910,602,1.02E+07,602,910,602,8.70E-05
603,910,603,1.01E+07,603,910,603,8.80E-05
604,990,604,1.11E+07,604,990,604,8.70E-05
605,850,605,9438039.285,605,850,605,8.80E-05
606,800,606,8882860.503,606,800,606,8.80E-05
607,870,607,9660110.798,607,870,607,8.80E-05
608,880,608,9771146.554,608,880,608,8.80E-05
609,900,609,9993218.066,609,900,609,8.80E-05
610,1120,610,1.24E+07,610,1120,610,8.80E-05
611,770,611,8549753.235,611,770,611,8.80E-05
612,680,612,7465595.12,612,680,612,8.90E-05
613,910,613,9990722.881,613,910,613,8.90E-05
614,850,614,9331993.9,614,850,614,8.90E-05
615,880,615,9661358.39,615,880,615,8.90E-05
616,790,616,8771824.747,616,790,616,8.80E-05
617,900,617,9993218.066,617,900,617,8.80E-05
618,790,618,8673264.919,618,790,618,8.90E-05
619,1050,619,1.15E+07,619,1050,619,8.90E-05
620,920,620,1.01E+07,620,920,620,8.90E-05
621,860,621,9549075.041,621,860,621,8.80E-05
622,940,622,1.04E+07,622,940,622,8.80E-05
623,940,623,1.06E+07,623,940,623,8.70E-05
624,1000,624,1.12E+07,624,1000,624,8.70E-05
625,1130,625,1.27E+07,625,1130,625,8.70E-05
626,780,626,8862202.688,626,780,626,8.60E-05
627,880,627,9883458.583,627,880,627,8.70E-05
628,710,628,7883538.697,628,710,628,8.80E-05
629,920,629,1.03E+07,629,920,629,8.70E-05
630,750,630,8327681.722,630,750,630,8.80E-05
631,810,631,9097274.378,631,810,631,8.70E-05
632,780,632,8660788.991,632,780,632,8.80E-05
633,840,633,9434210.466,633,840,633,8.70E-05
634,930,634,1.04E+07,634,930,634,8.70E-05
635,930,635,1.03E+07,635,930,635,8.80E-05
636,910,636,1.02E+07,636,910,636,8.70E-05
637,710,637,7883538.697,637,710,637,8.80E-05
638,780,638,8760338.29,638,780,638,8.70E-05
639,950,639,1.05E+07,639,950,639,8.80E-05
640,920,640,1.03E+07,640,920,640,8.70E-05
641,1100,641,1.24E+07,641,1100,641,8.70E-05
642,920,642,1.02E+07,642,920,642,8.80E-05
643,1000,643,1.12E+07,643,1000,643,8.70E-05
644,860,644,9658834.524,644,860,644,8.70E-05
645,950,645,1.07E+07,645,950,645,8.70E-05
646,970,646,1.08E+07,646,970,646,8.80E-05
647,920,647,1.03E+07,647,920,647,8.70E-05
648,800,648,8984962.348,648,800,648,8.70E-05
649,760,649,8634966.722,649,760,649,8.60E-05
650,980,650,1.10E+07,650,980,650,8.70E-05
651,950,651,1.08E+07,651,950,651,8.60E-05
652,850,652,9657528.571,652,850,652,8.60E-05
653,970,653,1.10E+07,653,970,653,8.60E-05
654,950,654,1.07E+07,654,950,654,8.70E-05
655,800,655,9089438.655,655,800,655,8.60E-05
656,880,656,9883458.583,656,880,656,8.70E-05
657,910,657,1.03E+07,657,910,657,8.60E-05
658,890,658,9995770.613,658,890,658,8.70E-05
659,1000,659,1.14E+07,659,1000,659,8.60E-05
660,740,660,8407730.756,660,740,660,8.60E-05
661,780,661,8862202.688,661,780,661,8.60E-05
662,840,662,9543910.587,662,840,662,8.60E-05
663,860,663,9771146.554,663,860,663,8.60E-05
664,840,664,9543910.587,664,840,664,8.60E-05
665,870,665,9771146.554,665,870,665,8.70E-05
666,880,666,9883458.583,666,880,666,8.70E-05
667,860,667,9658834.524,667,860,667,8.70E-05
668,890,668,9995770.613,668,890,668,8.70E-05
669,720,669,8086466.114,669,720,669,8.70E-05
670,840,670,9434210.466,670,840,670,8.70E-05
671,860,671,9771146.554,671,860,671,8.60E-05
672,920,672,1.03E+07,672,920,672,8.70E-05
673,850,673,9438039.285,673,850,673,8.80E-05
674,840,674,9327003.529,674,840,674,8.80E-05
675,860,675,9549075.041,675,860,675,8.80E-05
676,1050,676,1.17E+07,676,1050,676,8.80E-05
677,850,677,9438039.285,677,850,677,8.80E-05
678,790,678,8771824.747,678,790,678,8.80E-05
679,920,679,1.02E+07,679,920,679,8.80E-05
680,840,680,9327003.529,680,840,680,8.80E-05
681,740,681,8216645.966,681,740,681,8.80E-05
682,860,682,9549075.041,682,860,682,8.80E-05
683,790,683,8771824.747,683,790,683,8.80E-05
684,800,684,8882860.503,684,800,684,8.80E-05
685,1030,685,1.14E+07,685,1030,685,8.80E-05
686,940,686,1.04E+07,686,940,686,8.80E-05
687,760,687,8438717.478,687,760,687,8.80E-05
688,770,688,8549753.235,688,770,688,8.80E-05
689,740,689,8216645.966,689,740,689,8.80E-05
690,1010,690,1.12E+07,690,1010,690,8.80E-05
691,990,691,1.09E+07,691,990,691,8.90E-05
692,800,692,8783053.082,692,800,692,8.90E-05
693,890,693,9882182.31,693,890,693,8.80E-05
694,880,694,9771146.554,694,880,694,8.80E-05
695,1090,695,1.18E+07,695,1090,695,9.00E-05
696,900,696,9663771.317,696,900,696,9.10E-05
697,750,697,8053142.764,697,750,697,9.10E-05
698,1020,698,1.11E+07,698,1020,698,9.00E-05
699,830,699,9112417.573,699,830,699,8.90E-05
700,760,700,8160518.001,700,760,700,9.10E-05
701,900,701,9771146.554,701,900,701,9.00E-05
702,620,702,6731234.293,702,620,702,9.00E-05
703,840,703,9019519.896,703,840,703,9.10E-05
704,950,704,1.02E+07,704,950,704,9.10E-05
705,790,705,8576895.308,705,790,705,9.00E-05
706,750,706,8053142.764,706,750,706,9.10E-05
707,850,707,9126895.133,707,850,707,9.10E-05
708,830,708,8815273.521,708,830,708,9.20E-05
709,1000,709,1.07E+07,709,1000,709,9.10E-05
710,710,710,7623641.817,710,710,710,9.10E-05
711,820,711,8902600.194,711,820,711,9.00E-05
712,870,712,9341645.606,712,870,712,9.10E-05
713,820,713,8709065.407,713,820,713,9.20E-05
714,870,714,9341645.606,714,870,714,9.10E-05
715,870,715,9341645.606,715,870,715,9.10E-05
716,890,716,9662578.259,716,890,716,9.00E-05
717,1120,717,1.20E+07,717,1120,717,9.10E-05
718,870,718,9341645.606,718,870,718,9.10E-05
719,920,719,9878521.791,719,920,719,9.10E-05
720,900,720,9663771.317,720,900,720,9.10E-05
721,800,721,8590018.948,721,800,721,9.10E-05
722,850,722,9126895.133,722,850,722,9.10E-05
723,750,723,7965608.604,723,750,723,9.20E-05
724,780,724,8375268.475,724,780,724,9.10E-05
725,850,725,9126895.133,725,850,725,9.10E-05
726,760,726,8160518.001,726,760,726,9.10E-05
727,790,727,8482643.712,727,790,727,9.10E-05
728,810,728,8794031.898,728,810,728,9.00E-05
729,760,729,8160518.001,729,760,729,9.10E-05
730,850,730,9126895.133,730,850,730,9.10E-05
731,900,731,9663771.317,731,900,731,9.10E-05
732,870,732,9341645.606,732,870,732,9.10E-05
733,670,733,7194140.869,733,670,733,9.10E-05
734,670,734,7274075.768,734,670,734,9.00E-05
735,780,735,8468327.013,735,780,735,9.00E-05
736,800,736,8685463.603,736,800,736,9.00E-05
737,950,737,1.03E+07,737,950,737,9.00E-05
738,880,738,9554009.964,738,880,738,9.00E-05
739,850,739,9126895.133,739,850,739,9.10E-05
740,800,740,8685463.603,740,800,740,9.00E-05
741,910,741,9990722.881,741,910,741,8.90E-05
742,790,742,8576895.308,742,790,742,9.00E-05
743,840,743,9119736.784,743,840,743,9.00E-05
744,810,744,8794031.898,744,810,744,9.00E-05
745,930,745,1.01E+07,745,930,745,9.00E-05
746,850,746,9228305.079,746,850,746,9.00E-05
747,920,747,9878521.791,747,920,747,9.10E-05
748,740,748,8034053.833,748,740,748,9.00E-05
749,720,749,7731017.054,749,720,749,9.10E-05
750,660,750,7165507.473,750,660,750,9.00E-05
751,930,751,9985897.028,751,930,751,9.10E-05
752,800,752,8685463.603,752,800,752,9.00E-05
753,880,753,9449020.843,753,880,753,9.10E-05
754,680,754,7301516.106,754,680,754,9.10E-05
755,730,755,7925485.538,755,730,755,9.00E-05
756,910,756,9879714.849,756,910,756,9.00E-05
757,860,757,9234270.37,757,860,757,9.10E-05
758,860,758,9336873.374,758,860,758,9.00E-05
759,910,759,9879714.849,759,910,759,9.00E-05
760,780,760,8375268.475,760,780,760,9.10E-05
761,710,761,7708348.948,761,710,761,9.00E-05
762,920,762,9878521.791,762,920,762,9.10E-05
763,1070,763,1.15E+07,763,1070,763,9.10E-05
764,810,764,8794031.898,764,810,764,9.00E-05
765,960,765,1.04E+07,765,960,765,9.00E-05
766,1000,766,1.07E+07,766,1000,766,9.10E-05
767,970,767,1.05E+07,767,970,767,9.00E-05
768,890,768,9556396.08,768,890,768,9.10E-05
769,790,769,8482643.712,769,790,769,9.10E-05
770,620,770,6657264.685,770,620,770,9.10E-05
771,920,771,9878521.791,771,920,771,9.10E-05
772,690,772,7408891.343,772,690,772,9.10E-05
773,770,773,8178024.833,773,770,773,9.20E-05
774,700,774,7516266.58,774,700,774,9.10E-05
775,940,775,1.02E+07,775,940,775,9.00E-05
776,780,776,8468327.013,776,780,776,9.00E-05
777,890,777,9662578.259,777,890,777,9.00E-05
778,810,778,8697394.185,778,810,778,9.10E-05
779,820,779,8804769.422,779,820,779,9.10E-05
780,820,780,8804769.422,780,820,780,9.10E-05
781,800,781,8590018.948,781,800,781,9.10E-05
782,700,782,7599780.653,782,700,782,9.00E-05
783,800,783,8590018.948,783,800,783,9.10E-05
784,760,784,8160518.001,784,760,784,9.10E-05
785,760,785,8160518.001,785,760,785,9.10E-05
786,740,786,7945767.527,786,740,786,9.10E-05
787,790,787,8482643.712,787,790,787,9.10E-05
788,720,788,7731017.054,788,720,788,9.10E-05
789,910,789,9771146.554,789,910,789,9.10E-05
790,920,790,9878521.791,790,920,790,9.10E-05
791,810,791,8697394.185,791,810,791,9.10E-05
792,740,792,7945767.527,792,740,792,9.10E-05
793,690,793,7328359.915,793,690,793,9.20E-05
794,740,794,7859400.489,794,740,794,9.20E-05
795,810,795,8697394.185,795,810,795,9.10E-05
796,860,796,9234270.37,796,860,796,9.10E-05
797,820,797,8902600.194,797,820,797,9.00E-05
798,950,798,1.02E+07,798,950,798,9.10E-05
799,670,799,7274075.768,799,670,799,9.00E-05
800,830,800,9011168.489,800,830,800,9.00E-05
